Weapon Name,Weapon Type,Bullet Type,Damage,Magazine Capacity,Range,Bullet Speed,Rate of Fire,Shots to Kill (Chest),Shots to Kill (Head),Damage Per Second,Fire Mode,BDMG_0,BDMG_1,BDMG_2,BDMG_3,HDMG_0,HDMG_1,HDMG_2,HDMG_3
Groza,Assault Rifle,7.62,49,30,400,715,0.08,4,2,612,"Single, Automatic, Burst",47,34.3,29.4,22,115.1,80.6,69,51.8
AKM,Assault Rifle,7.62,49,30,400,710,0.01,4,2,490,"Single, Automatic",47,34.3,29.4,22,115.1,80.6,69,51.8
M762,Assault Rifle,7.62,47,30,400,715,0.086,4,2,547,"Single, Automatic, Burst",46,32.9,28.2,21.1,110.4,77.3,66.2,49.7
MK47 Mutant,Assault Rifle,7.62,49,30,500,715,0.01,4,2,490,"Single, Burst",49,34.3,29.4,22,115.1,80.6,69,51.8
AUG A3,Assault Rifle,5.56,43,30,600,880,0.086,4,2,502,"Single, Automatic",41,30.1,25.8,19.3,101,70.7,60.6,45.4
SCAR-L,Assault Rifle,5.56,43,30,600,880,0.096,4,2,448,"Single, Automatic",41,30.1,25.8,19.3,101,70.7,60.6,45.4
M416,Assault Rifle,5.56,43,30,600,890,0.086,4,2,502,"Single, Automatic",41,30.1,25.8,19.3,101,70.7,60.6,45.4
M16A4,Assault Rifle,5.56,43,30,600,900,0.01,4,2,430,"Single, Burst",43,30.1,25.8,19.3,101,70.7,60.6,45.4
G36C,Assault Rifle,5.56,43,30,600,880,0.086,4,2,502,"Single, Automatic",41,30.1,25.8,19.3,101,70.7,60.6,45.4
OBZ,Assault Rifle,5.56,43,30,600,880,0.096,4,2,466,"Single, Automatic",41,30.1,25.8,19.3,101,70.7,60.6,45.4
M249,Light Machine Gun,5.56,45,100,400,915,0.075,4,2,600,Automatic,45,31.4,27,20.2,103.4,72.4,62,46.5
DP-28,Light Machine Gun,7.62,51,47,600,715,0.109,4,2,468,Automatic,51,35.6,30.6,22.9,117.3,82.1,70.3,52.7
Vector,Submachine Gun,9,31,19,50,300,0.055,5,3,569,"Single, Automatic, Burst",31,21.7,18.5,13.9,55.8,39,33.4,25.1
Uzi,Submachine Gun,9,26,25,200,350,0.048,7,4,542,"Single, Automatic",26,18.2,15.6,11.7,46.8,32.7,28,21
